genename,Tce_LG_log2FC_SB,Tce_LG_FDR_SB,Tce_LG_sexbias,Tce_LG_log2FC_SA,Tce_LG_FDR_SA,scaf_name,LG,chr_type
RBBH-17345,-1.273717225,0.456681905,Unbiased,-0.077647029,0.944513039,CM009478.1,LG3,A
RBBH-17346,-0.251160059,0.930256015,Unbiased,0.560689047,0.116671114,CM009478.1,LG3,A
RBBH-17347,-0.618874392,0.968849065,Unbiased,0.756906895,0.595573196,CM009479.1,LG4,A
RBBH-17348,0.326124458,0.897212739,Unbiased,0.605148838,0.104416737,PGFK01002481.1,NA,NA
RBBH-17349,-0.02443449,0.997686618,Unbiased,0.08548772,0.913244897,CM009478.1,LG3,A
RBBH-17350,-0.244123809,0.895298094,Unbiased,0.793817589,0.000738218,CM009479.1,LG4,A
RBBH-17351,0.090994338,0.9874089,Unbiased,-0.034177508,0.956834236,CM009473.1,LG10,A
RBBH-17352,0.027747582,0.996590176,Unbiased,0.230019194,0.496160625,CM009481.1,LG6,A
RBBH-17353,0.578066077,0.667697081,Unbiased,0.18731349,0.705091868,CM009478.1,LG3,A
RBBH-17354,-0.10151879,0.985880111,Unbiased,0.09252197,0.867366142,CM009476.1,LG13,X
RBBH-17355,0.220792131,0.924093981,Unbiased,-0.310587083,0.305148183,CM009480.1,LG5,A
RBBH-17357,-0.149532743,0.969377458,Unbiased,0.398215331,0.249597482,CM009479.1,LG4,A
RBBH-17359,-0.112972905,0.985537895,Unbiased,0.25752324,0.7261374,CM009477.1,LG2,A
RBBH-1736,0.207953824,0.924093981,Unbiased,0.072247004,0.879939446,CM009481.1,LG6,A
RBBH-17360,0.764638478,0.902174332,Unbiased,-0.738814267,0.421938554,CM009482.1,LG7,A
RBBH-17365,0.739107997,0.467508059,Unbiased,0.377270891,0.392050979,CM009473.1,LG10,A
